author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
571965332,2021-12-01 13:59:58+00:00, ,1466044404427153416,en,0,0,0,2,Twitter Web App,"If you loved Rollo on the History Channel now you can follow his family from its roots in old Kvenland to his dukedom in Normandy!
The Viking Sagas is available in soft cover, Kindle Ebook and Audible!
A great Christmas gift!
https://t.co/lCDLSfpe34 https://t.co/OlKM0csRKi"
23427407,2021-12-01 13:59:39+00:00, ,1466044326585188360,en,0,0,1,0,Twitter for iPhone,@disabledreamer Here you go! https://t.co/4fxZKbldan
15018709,2021-12-01 13:59:18+00:00, ,1466044236000808962,en,1,0,0,0,Twitter Web App,"@losowsky @natematias I can't remember if you have kids or not, but my 6 year old is obsessed with the Just William BBC radio drama series. We have listened to ~ 25 hours of it-  I bought it on audible for 8 bucks. It's lasted many a pandemic car trip."
1452922192988151809,2021-12-01 13:59:01+00:00, ,1466044164383064071,en,0,0,0,544,Twitter Web App,RT @ComeOnManPOD: @CoachCoreyWayne How can I book you for a podcast interview? I'd love to talk about your latest book. I recently finished…
571965332,2021-12-01 13:58:31+00:00, ,1466044039057199109,en,1,0,0,2,Twitter Web App,"Two beaten soldiers.
Two broken hearts.
Two families who must come together to heal.
Based on a true Civil War story!
Available in soft cover, Kindle Ebook and Audible!
A great Christmas gift!
https://t.co/lCDLSfpe34 https://t.co/oeGkQSdX6C"
746424715,2021-12-01 13:58:24+00:00, ,1466044011290968067,en,0,0,0,0,Twitter for iPhone,"🚨 Pet Peeve Alert 🚨 

People who say they “read the book” but really listened to it on Audible or some such shit. 

That’s not reading. That’s called “story time.”"
207203393,2021-12-01 13:58:20+00:00, ,1466043992563494918,en,0,0,0,440,Twitter for Android,RT @neilhimself: I just realised that today was the 33rd anniversary of the publication of Sandman #1. It's become a whole world. Thank you…
1031892032560750593,2021-12-01 13:58:18+00:00, ,1466043984065802245,en,0,0,0,71,Twitter for iPhone,"RT @millyjohnson: 1st December!  I have a book that's 99p on Kindle https://t.co/LAI4GEfypO - so if you give this post a RT  &amp; like it, I'l…"
23427407,2021-12-01 13:58:17+00:00, ,1466043979707920396,en,19,0,1,3,Twitter for iPhone,Folks have been asking and I’m thrilled to say that the audiobook for HAIL MARY is finally available for pre-order! @darcangel21 https://t.co/4fxZKbldan
3247929645,2021-12-01 13:58:15+00:00, ,1466043970761469960,en,0,0,1,0,Sprinklr,@marcosm (2/2) To do go open the Audible app &amp; go to Profile &gt; Settings (gear icon) &gt; Push Notifications &gt; toggle off the options. We hope this helps! Let us know if you have any questions.
300689523,2021-12-01 13:58:11+00:00, ,1466043957616521218,en,0,0,1,0,Twitter for iPhone,"@jake_burns18 @_PeteSmith_ @TheRealXavierP Why do you think he doesn’t audible at the line, or am I missing the times when he does"
1236179421263826946,2021-12-01 13:57:54+00:00, ,1466043883712774146,en,0,0,0,2,Twitter for Android,"RT @BoardingArea: Amex cardmembers: Receive unlimited coffee and Audible for six months, plus more money-saving Amex Offers! https://t.co/9…"
29519060,2021-12-01 13:57:44+00:00, ,1466043842369658882,en,2,0,0,0,Twitter for iPhone,"@ai_clayton Ian- any interest in the Eastern philosophical traditions as in a bit of Hinduism, Daoism and more emphasis on Buddhism and Japanese Zen? 
The 3 Alan Watts lecture series’ on Audible- Out of Your Mind, Just So and You’re It. Wisdom, humour and a gentle voice. Keeping me sane."
1272464248023609344,2021-12-01 13:57:37+00:00, ,1466043813579788291,en,0,0,0,62,Twitter Web App,RT @biwinguaI: THE LOUD AUDIBLE FUCK I LET OUT WHAT THE FUCK!!!!!!! #viceversa #jimmyyjp #OhmNanon #GMMTV2022 https://t.co/P6Z7ahUcMw
853531063913762816,2021-12-01 13:57:25+00:00, ,1466043763025920001,en,3,0,0,0,Twitter Web App,"i feel like i have too much to say so thoughts might take 2 tweets for some of these oops. i love the worst social media platform
anyway Favorite song: The Overload
actually approachable message with audible lyrics! the way of the future. i like this one its nice n effective"
796327641045467136,2021-12-01 13:57:16+00:00, ,1466043723704320001,en,0,0,0,2,Twitter Web App,"RT @JamesCrookes: Finally, book two has landed on Audible. Thanks for all your support!
https://t.co/1kM858SR0y"
3247929645,2021-12-01 13:57:14+00:00, ,1466043715261186058,en,0,0,0,0,Sprinklr,@marcosm Understood. When the app is open in the background of your device the icon will appear &amp; also for new notifications. What we can suggest is turning off the Push Notifications in the Audible app so the icon can show less frequently. (1/2)
